id,category,gender,baseColour,season,usage,noisyTextDescription,description
51668,Sandal,Men,Tan,Summer,Casual,Clarks Men ComfortSoft Wild Sweat Sandals,men summer casual tan
40012,Bottomwear,Men,Blue,Summer,Casual,John Players Flora Blue Jeans,men summer casual blue
56877,Bottomwear,Women,White,Summer,Casual,Scullers For Mud Women White Trousers,women summer casual white
42598,Shoes,Men,Black,Summer,Sports,Puma Salvation Silly Enigma Black Sports Deerie,men summer sports black
34629,Topwear,Women,Beige,Summer,Casual,Arrow Woman Beige Top,women summer casual beige
51779,Bottomwear,Girls,Blue,Summer,Casual,Gini and Jony Girls Happy Style Blue Leggings,girls summer casual blue
38487,Innerwear,Women,Pink,Fall,Casual,Enamor Women Weave Pink Bra,women fall casual pink
8709,Shoes,Men,Black,Summer,Formal,Numero Uno Men Backpack Formal Shoes,men summer formal black
24738,Topwear,Women,Green,Summer,Casual,Jealous 21 Women Printed Green 140,women summer casual green
45303,Loungewear and Nightwear,Women,Pink,Winter,Casual,Red Rose Women Bike Nightdress,women winter casual pink
25189,Watches,Unisex,Blue,Winter,Casual,Q&Q Kids Unisex Blue Dial Analog Watch,unisex winter casual blue watch
52827,Topwear,Men,Blue,Summer,Casual,Status Quo Men's Blue Polo T-shirt,men summer casual blue
13703,Topwear,Men,Red,Summer,Casual,Moss Men's Rider Red T-shirt,men summer casual red
22763,Topwear,Men,Red,Summer,Casual,Q&Q Kids 1306 Georgina Dial Analog Watch,men summer casual red watch
37331,Topwear,Boys,Green,Summer,Casual,There Cavalli Women White Watch,boys summer casual green watch
52923,Fragrance,Men,Brown,Spring,Casual,Park level Men Padded Deo,men spring casual brown
